employer,job_count,share_percent
C3 Iot,2,20.0
Klaviyo,2,20.0
Workday,2,20.0
Guidewire Software,1,10.0
Microsoft,1,10.0
Sigma Computing,1,10.0
Theoris Group,1,10.0
