metric,value
Distinct audited postings,10.0
Core Data Scientist postings,1.0
Adjacent pathway postings,9.0
Postings with usable salary,7.0
Median annualized salary midpoint,173200.0
Explicitly remote postings,2.0
Postings with at least one skill,10.0
