JOB_ID,POSTED_DATE,TITLE_STANDARDIZED,ROLE_SEGMENT,SCOPE_TIER,COMPANY_NAME,STATE,SALARY_FROM_ANNUAL,SALARY_TO_ANNUAL,SALARY_MIDPOINT_ANNUAL,posting_label
9fcc76415c05500ff5971f8b11594ab65f34533f,2024-05-26,Sales Solution Architects,AI Technical Role,Adjacent,C3 Iot,California,120000.0,120000.0,120000.0,C3 Iot — Sales Solution Architects — May 26
20829c9ed040398015e3a0be96e43ed8185d0b43,2024-08-26,Sales Solution Architects,AI Technical Role,Adjacent,C3 Iot,New York,120000.0,120000.0,120000.0,C3 Iot — Sales Solution Architects — Aug 26
869ab0ddb1fee45911ef8df7221ebeaf39487feb,2024-07-04,Customer Success Analysts,Data Science Adjacent Role,Adjacent,Klaviyo,Massachusetts,96000.0,144000.0,120000.0,Klaviyo — Customer Success Analysts — Jul 04
6d8183a60e5eca6d47ab7816a54dc1e633a5a668,2024-09-17,Applied Scientists,Applied or Decision Scientist,Adjacent,Microsoft,New York,117200.0,229200.0,173200.0,Microsoft — Applied Scientists — Sep 17
af86e8ce518e4926a5dee8b3a90a38d0c0d923ec,2024-07-31,Enterprise Architects,AI Technical Role,Adjacent,Workday,California,138500.0,208000.0,173250.0,Workday — Enterprise Architects — Jul 31
b927c3a77c71177a9459bc0e41c4bd81f80debbc,2024-07-31,Enterprise Architects,AI Technical Role,Adjacent,Workday,California,138500.0,208000.0,173250.0,Workday — Enterprise Architects — Jul 31
0094418d419dc3a48fda36e0f6f5d4f41fd32459,2024-06-19,Data Analytics Architects,Machine Learning Technical Role,Adjacent,Guidewire Software,California,180000.0,210000.0,195000.0,Guidewire Software — Data Analytics Architects — Jun 19
