role_segment,job_count,share_percent
AI Technical Role,4,40.0
Data Science Adjacent Role,2,20.0
Analytics Engineer,1,10.0
Applied or Decision Scientist,1,10.0
Data Scientist,1,10.0
Machine Learning Technical Role,1,10.0
