JOB_ID,SCOPE_TIER,ROLE_SEGMENT,SKILL
343471,Adjacent,AI Technical Role,Java
404916,Adjacent,AI Technical Role,Automation
416038,Adjacent,Machine Learning Technical Role,AWS
699481,Adjacent,AI Technical Role,Agentic AI
699484,Adjacent,AI Technical Role,Agentic AI
702215,Adjacent,AI Technical Role,Generative AI
712370,Adjacent,AI Technical Role,AI Security
717335,Adjacent,AI Technical Role,AI Security
727376,Adjacent,AI Technical Role,AI Innovation
731289,Adjacent,AI Technical Role,AWS
