metric,value
final_panel_jobs,66
core_data_scientist_jobs,1
adjacent_ai_ml_jobs,65
advanced_title_jobs,53
advanced_title_share_percent,80.3
valid_salary_jobs,39
median_annual_salary_midpoint,215000.0
explicit_remote_jobs,6
unknown_remote_jobs,60
earliest_posting_date,2026-06-03
latest_posting_date,2026-07-21
