field,job_count,coverage_percent
Posting date,66,100.0
Employer,66,100.0
Education,66,100.0
State,62,93.9
Employment type,57,86.4
Valid salary,39,59.1
At least one skill,10,15.2
Known remote status,6,9.1
Reported experience years,0,0.0
