employer_display,job_count,share_percent
Databricks,9,13.6
JPMorgan Chase,5,7.6
CoreWeave,5,7.6
WEX,3,4.5
Anthropic,3,4.5
Fivetran,3,4.5
Okta,3,4.5
NICE,2,3.0
Harvey AI,2,3.0
SpaceX,2,3.0
