state,job_count,share_percent
California,21,31.8
New York,12,18.2
Texas,7,10.6
Washington,7,10.6
District of Columbia,5,7.6
Unspecified U.S. location,4,6.1
Massachusetts,3,4.5
Illinois,2,3.0
Maine,2,3.0
Georgia,1,1.5
Kentucky,1,1.5
Utah,1,1.5
